ch1,ch2,ch3,ch4,ch5,ch6
587,587,600,585,585,583
587,587,600,585,585,583
588,593,600,595,596,585
588,593,600,595,596,585
588,593,600,595,596,585
586,592,590,589,599,583
586,592,590,589,599,583
587,593,598,588,585,577
587,593,598,588,585,577
587,593,598,588,585,577
583,580,591,591,591,588
583,580,591,591,591,588
583,580,591,591,591,588
583,600,591,589,591,584
583,600,591,589,591,584
586,588,582,579,590,585
586,588,582,579,590,585
586,588,582,579,590,585
586,582,588,586,595,574
586,582,588,586,595,574
586,582,588,586,595,574
587,581,593,595,600,593
587,581,593,595,600,593
587,581,593,595,600,593
584,595,598,589,590,585
584,595,598,589,590,585
586,590,586,585,587,581
586,590,586,585,587,581
586,590,586,585,587,581
583,590,593,591,603,596
583,590,593,591,603,596
583,590,593,591,603,596
582,596,595,590,585,583
582,596,595,590,585,583
582,596,595,590,585,583
586,594,600,580,600,578
586,594,600,580,600,578
583,593,595,589,584,583
583,593,595,589,584,583
583,593,595,589,584,583
582,590,595,583,595,578
582,590,595,583,595,578
582,590,595,583,595,578
586,591,594,587,591,588
586,591,594,587,591,588
586,594,594,583,596,596
586,594,594,583,596,596
586,594,594,583,596,596
590,583,591,586,605,589
590,583,591,586,605,589
590,583,591,586,605,589
588,597,593,583,600,579
588,597,593,583,600,579
588,597,593,583,600,579
585,575,593,573,588,593
585,575,593,573,588,593
585,575,593,573,588,593
585,579,591,590,584,594
585,579,591,590,584,594
585,585,591,582,585,588
585,585,591,582,585,588
585,585,591,582,585,588
583,582,583,585,595,583
583,582,583,585,595,583
583,582,583,585,595,583
583,593,596,594,593,591
583,593,596,594,593,591
583,593,596,594,593,591
583,587,591,583,600,596
583,587,591,583,600,596
588,588,589,589,591,587
588,588,589,589,591,587
588,588,589,589,591,587
587,585,581,587,598,582
587,585,581,587,598,582
587,585,581,587,598,582
588,585,595,590,588,583
588,585,595,590,588,583
583,577,588,583,587,591
584,583,590,588,598,594
584,583,590,588,598,594
585,579,600,588,591,589
585,579,600,588,591,589
585,579,600,588,591,589
583,582,590,586,587,591
583,582,590,586,587,591
583,582,590,586,587,591
585,583,590,582,595,591
585,583,590,582,595,591
585,591,599,589,601,582
585,591,599,589,601,582
585,591,599,589,601,582
583,594,600,583,583,588
583,594,600,583,583,588
583,594,600,583,583,588
583,578,582,580,593,587
583,578,582,580,593,587
583,578,582,580,593,587
583,588,599,595,593,593
583,588,599,595,593,593
588,587,587,583,590,591
588,587,587,583,590,591
588,587,587,583,590,591
585,579,590,583,594,585
585,579,590,583,594,585
585,579,590,583,594,585
588,591,599,587,598,585
588,591,599,587,598,585
589,573,595,591,594,585
589,573,595,591,594,585
589,573,595,591,594,585
588,583,596,588,583,595
588,583,596,588,583,595
588,583,596,588,583,595
585,587,590,588,595,579
585,587,590,588,595,579
585,587,590,588,595,579
583,590,583,585,593,591
583,590,583,585,593,591
585,590,597,591,588,583
585,590,597,591,588,583
585,590,597,591,588,583
585,585,583,591,595,587
585,585,583,591,595,587
585,585,583,591,595,587
589,585,596,586,591,583
589,585,596,586,591,583
589,585,596,586,591,583
585,597,595,583,591,585
585,597,595,583,591,585
586,583,585,591,587,595
586,583,585,591,587,595
586,583,585,591,587,595
586,592,595,583,587,595
586,592,595,583,587,595
586,592,595,583,587,595
583,583,583,580,591,585
583,583,583,580,591,585
583,591,589,583,583,583
583,591,589,583,583,583
583,591,589,583,583,583
583,591,587,591,591,591
583,591,587,591,591,591
583,591,587,591,591,591
588,591,600,597,591,582
588,591,600,597,591,582
588,591,600,597,591,582
585,591,580,582,592,596
585,591,580,582,592,596
589,595,598,591,587,591
589,595,598,591,587,591
589,595,598,591,587,591
589,589,591,591,590,591
589,589,591,591,590,591
589,589,591,591,590,591
583,598,587,583,596,588
583,598,587,583,596,588
583,598,587,583,596,588
583,589,583,579,593,591
583,589,583,579,593,591
583,583,588,591,604,579
583,583,588,591,604,579
583,588,581,589,588,589
583,588,581,589,588,589
583,588,581,589,588,589
587,593,583,583,585,583
587,593,583,583,585,583
587,593,583,583,585,583
584,585,578,581,583,580
584,585,578,581,583,580
584,585,578,581,583,580
590,585,593,595,597,595
590,585,593,595,597,595
585,580,591,580,593,586
585,580,591,580,593,586
585,580,591,580,593,586
588,591,588,587,589,593
588,591,588,587,589,593
588,591,588,587,589,593
583,583,597,593,587,591
583,583,597,593,587,591
583,583,597,593,587,591
583,590,587,578,591,595
583,590,587,578,591,595
585,591,590,588,596,589
585,591,590,588,596,589
585,591,590,588,596,589
587,587,591,591,596,591
587,587,591,591,596,591
587,587,591,591,596,591
585,589,592,589,593,590
585,589,592,589,593,590
585,583,585,583,591,588
585,583,585,583,591,588
585,583,585,583,591,588
585,583,585,583,591,588
585,577,590,588,585,587
585,577,590,588,585,587
587,589,589,581,587,576
587,589,589,581,587,576
587,589,589,581,587,576
590,590,592,591,590,590
590,590,592,591,590,590
585,575,579,585,600,594
585,575,579,585,600,594
585,575,579,585,600,594
587,588,594,579,584,597
587,588,594,579,584,597
587,588,594,579,584,597
583,589,585,598,593,587
583,589,585,598,593,587
583,589,585,598,593,587
588,584,582,588,599,590
588,584,582,588,599,590
585,579,589,581,591,587
585,579,589,581,591,587
585,579,589,581,591,587
585,594,589,588,593,588
585,594,589,588,593,588
585,594,589,588,593,588
583,587,585,583,589,583
583,587,585,583,589,583
585,595,583,592,595,588
585,595,583,592,595,588
585,595,583,592,595,588
585,587,597,583,591,600
585,587,597,583,591,600
585,587,597,583,591,600
589,582,593,590,588,583
589,582,593,590,588,583
589,582,593,590,588,583
591,597,589,595,605,584
591,597,589,595,605,584
585,579,590,595,598,583
585,579,590,595,598,583
585,579,590,595,598,583
583,579,599,589,593,590
583,579,599,589,593,590
583,579,599,589,593,590
587,579,599,586,601,590
587,579,599,586,601,590
587,579,599,586,601,590
585,586,592,585,586,594
585,586,592,585,586,594
585,583,590,592,601,583
585,583,590,592,601,583
585,583,590,592,601,583
588,595,583,583,583,591
588,595,583,583,583,591
588,595,583,583,583,591
587,590,591,580,598,590
587,590,591,580,598,590
586,603,595,590,593,587
586,603,595,590,593,587
586,603,595,590,593,587
588,588,571,579,590,595
588,588,571,579,590,595
588,588,571,579,590,595
583,594,591,588,594,593
583,594,591,588,594,593
583,594,591,588,594,593
585,580,593,589,590,589
585,580,593,589,590,589
587,599,593,594,601,596
587,599,593,594,601,596
587,599,593,594,601,596
591,583,578,585,593,591
591,583,578,585,593,591
591,583,578,585,593,591
587,589,599,585,595,587
587,589,599,585,595,587
587,589,599,585,595,587
583,596,590,588,595,582
583,596,590,588,595,582
585,582,588,591,583,582
585,582,588,591,583,582
585,582,588,591,583,582
585,583,604,590,600,581
585,583,604,590,600,581
585,583,604,590,600,581
583,583,577,597,600,575
583,583,577,597,600,575
585,591,593,587,589,585
585,591,593,587,589,585
585,591,593,587,589,585
587,589,590,579,590,587
587,589,590,579,590,587
587,589,590,579,590,587
588,594,594,585,591,574
588,594,594,585,591,574
588,594,594,585,591,574
587,582,598,590,598,592
587,582,598,590,598,592
583,588,591,588,590,599
583,588,591,588,590,599
583,588,591,588,590,599
585,585,588,588,598,585
585,585,588,588,598,585
585,585,588,588,598,585
583,585,591,585,591,594
583,585,591,585,591,594
583,585,591,585,591,594
585,586,598,579,600,583
585,586,598,579,600,583
588,587,580,588,604,589
588,587,580,588,604,589
588,587,580,588,604,589
588,589,588,583,597,598
588,589,588,583,597,598
588,589,588,583,597,598
587,595,600,597,591,589
587,595,600,597,591,589
587,583,595,589,583,589
583,590,575,587,595,588
583,590,575,587,595,588
585,581,601,591,587,590
585,581,601,591,587,590
585,581,601,591,587,590
585,594,589,585,595,579
585,594,589,585,595,579
585,594,589,585,595,579
583,599,591,583,589,580
583,599,591,583,589,580
586,598,593,587,600,586
586,598,593,587,600,586
586,598,593,587,600,586
586,588,595,582,595,589
586,588,595,582,595,589
586,588,595,582,595,589
585,590,583,585,597,582
585,590,583,585,597,582
585,590,583,585,597,582
585,585,589,585,597,588
585,585,589,585,597,588
585,591,582,578,583,580
585,591,582,578,583,580
585,591,582,578,583,580
589,598,583,581,598,588
589,598,583,581,598,588
589,598,583,581,598,588
582,585,578,590,589,596
582,585,578,590,589,596
586,593,600,589,599,575
586,593,600,589,599,575
586,593,600,589,599,575
585,588,586,591,587,588
585,588,586,591,587,588
585,588,586,591,587,588
587,587,590,583,606,583
587,587,590,583,606,583
587,587,590,583,606,583
589,589,588,579,591,589
589,589,588,579,591,589
587,590,598,583,585,587
587,590,598,583,585,587
587,590,598,583,585,587
585,603,591,585,582,591
585,603,591,585,582,591
585,603,591,585,582,591
585,580,589,598,592,590
585,580,589,598,592,590
585,580,589,598,592,590
586,587,579,593,588,590
586,587,579,593,588,590
583,583,583,583,586,579
583,583,583,583,586,579
583,583,583,583,586,579
587,593,591,584,585,587
587,593,591,584,585,587
587,593,591,584,585,587
586,591,593,589,594,582
586,591,593,589,594,582
586,591,593,589,594,582
586,588,587,583,588,588
586,588,587,583,588,588
586,591,589,588,596,595
586,591,589,588,596,595
586,591,589,588,596,595
585,580,585,586,595,590
585,580,585,586,595,590
585,580,585,586,595,590
585,585,583,585,588,589
585,585,583,585,588,589
583,589,585,600,591,595
583,589,585,600,591,595
583,589,585,600,591,595
583,582,588,589,591,593
583,582,588,589,591,593
583,582,588,589,591,593
587,596,599,585,583,588
587,596,599,585,583,588
587,596,599,585,583,588
588,590,601,591,591,584
588,590,601,591,591,584
585,588,583,589,591,580
585,588,583,589,591,580
585,588,583,589,591,580
585,581,577,595,593,583
585,581,577,595,593,583
585,581,577,595,593,583
585,583,590,589,591,591
585,583,590,589,591,591
585,586,588,578,591,589
585,586,588,578,591,589
585,586,588,578,591,589
586,589,591,587,599,583
586,589,591,587,599,583
586,589,591,587,599,583
585,588,594,590,594,593
585,588,594,590,594,593
585,588,594,590,594,593
587,581,596,589,588,591
587,581,596,589,588,591
587,581,596,589,588,591
583,590,591,575,600,582
583,590,591,575,600,582
588,578,582,584,589,582
588,578,582,584,589,582
588,578,582,584,589,582
585,575,575,588,591,588
585,575,575,588,591,588
585,575,575,588,591,588
585,590,601,583,589,587
585,590,601,583,589,587
585,594,579,588,593,583
585,594,579,588,593,583
585,594,579,588,593,583
586,589,589,593,588,583
586,589,589,593,588,583
586,589,589,593,588,583
585,587,596,588,587,575
585,587,596,588,587,575
588,591,591,587,593,583
588,591,591,587,593,583
588,591,591,587,593,583
585,579,579,597,599,587
585,579,579,597,599,587
585,579,579,597,599,587
583,591,594,593,595,595
583,591,594,593,595,595
583,591,594,593,595,595
583,577,591,590,587,583
583,577,591,590,587,583
585,587,601,577,593,583
585,587,601,577,593,583
585,587,601,577,593,583
587,578,587,593,595,585
587,578,587,593,595,585
587,578,587,593,595,585
583,578,579,583,597,589
583,578,579,583,597,589
583,578,579,583,597,589
588,591,596,590,600,584
588,591,596,590,600,584
585,585,575,585,595,575
585,585,575,585,595,575
585,585,575,585,595,575
587,575,581,591,599,579
587,575,581,591,599,579
587,575,581,591,599,579
583,591,588,588,591,578
583,588,594,589,587,592
583,588,594,589,587,592
583,588,594,589,587,592
585,588,601,586,587,580
585,588,601,586,587,580
585,588,601,586,587,580
585,590,588,595,600,588
585,590,588,595,600,588
585,590,588,595,600,588
587,588,597,597,597,588
587,588,597,597,597,588
588,595,585,578,586,598
588,595,585,578,586,598
588,595,585,578,586,598
585,575,588,586,600,586
585,575,588,586,600,586
585,575,588,586,600,586
584,580,595,596,595,595
584,580,595,596,595,595
584,580,595,596,595,595
584,585,591,591,578,575
584,585,591,591,578,575
585,583,575,585,590,587
585,583,575,585,590,587
585,583,575,585,590,587
587,595,588,586,593,590
587,595,588,586,593,590
587,595,588,586,593,590
583,573,582,591,606,588
583,573,582,591,606,588
588,586,580,592,593,582
588,586,580,592,593,582
588,586,580,592,593,582
585,589,591,591,602,587
585,589,591,591,602,587
585,589,591,591,602,587
584,585,585,591,591,583
584,585,585,591,591,583
584,585,585,591,591,583
585,572,591,588,598,587
585,572,591,588,598,587
585,600,596,592,595,591
585,600,596,592,595,591
585,600,596,592,595,591
586,588,590,583,585,583
586,588,590,583,585,583
586,588,590,583,585,583
583,585,597,588,596,590
583,585,597,588,596,590
583,585,597,588,596,590
587,590,590,585,591,594
587,590,590,585,591,594
588,578,591,588,601,590
588,578,591,588,601,590
588,578,591,588,601,590
585,586,581,586,593,590
585,586,581,586,593,590
585,586,581,586,593,590
588,583,596,591,591,585
588,583,596,591,591,585
585,588,584,581,579,597
585,588,584,581,579,597
585,588,584,581,579,597
587,586,586,591,589,580
587,586,586,591,589,580
587,586,586,591,589,580
588,587,578,579,585,588
588,587,578,579,585,588
588,587,578,579,585,588
583,587,601,575,584,591
583,587,601,575,584,591
585,591,597,591,603,582
585,591,597,591,603,582
585,591,597,591,603,582
587,591,600,586,597,590
587,591,600,586,597,590
587,591,600,586,597,590
587,593,594,590,596,583
587,593,594,590,596,583
585,579,600,575,593,594
585,579,600,575,593,594
585,579,600,575,593,594
583,585,585,589,595,582
583,585,585,589,595,582
583,585,585,589,595,582
586,588,591,583,590,583
586,588,591,583,590,583
586,588,591,583,590,583
587,595,583,589,595,589
587,595,583,589,595,589
584,591,591,594,595,587
584,591,591,594,595,587
584,591,591,594,595,587
590,598,600,597,585,589
590,598,600,597,585,589
590,598,600,597,585,589
584,597,591,579,595,595
584,597,591,579,595,595
584,597,591,579,595,595
584,590,591,587,598,593
584,590,591,587,598,593
588,585,596,579,587,587
588,585,596,579,587,587
588,585,596,579,587,587
585,594,589,593,590,594
585,594,589,593,590,594
585,594,589,593,590,594
583,583,583,594,587,591
583,583,583,594,587,591
583,583,583,594,587,591
585,589,595,593,591,586
585,589,595,593,591,586
588,589,595,595,601,589
588,589,595,595,601,589
588,589,595,595,601,589
587,592,590,591,598,591
587,592,590,591,598,591
587,592,590,591,598,591
586,597,597,582,591,584
586,597,597,582,591,584
583,583,594,591,586,587
583,583,594,591,586,587
583,583,594,591,586,587
585,594,595,589,594,583
585,594,595,589,594,583
585,594,595,589,594,583
586,574,579,597,588,586
586,574,579,597,588,586
586,574,579,597,588,586
587,591,590,583,595,600
587,591,590,583,595,600
585,571,587,587,590,590
585,571,587,587,590,590
585,571,587,587,590,590
585,587,597,594,587,585
585,587,597,594,587,585
585,587,597,594,587,585
585,579,577,583,600,589
585,579,577,583,600,589
585,595,595,595,606,596
585,595,595,595,606,596
585,595,595,595,606,596
587,591,587,588,586,585
588,575,587,585,596,590
588,575,587,585,596,590
585,588,600,587,583,584
585,588,600,587,583,584
585,588,600,587,583,584
587,589,590,578,585,579
587,589,590,578,585,579
583,593,587,590,600,598
588,583,591,585,579,585
588,583,591,585,579,585
587,579,575,595,600,587
587,579,575,595,600,587
587,579,575,595,600,587
588,583,588,593,599,598
588,583,588,593,599,598
588,583,588,593,599,598
585,593,577,581,601,573
585,593,577,581,601,573
585,599,583,594,598,582
585,599,583,594,598,582
585,599,583,594,598,582
586,589,595,586,595,590
586,589,595,586,595,590
586,589,595,586,595,590
583,589,591,587,595,589
583,589,591,587,595,589
588,595,601,589,592,583
588,591,588,583,589,583
588,591,588,583,589,583
583,581,583,578,603,595
583,581,583,578,603,595
583,581,583,578,603,595
587,591,588,587,591,588
587,591,588,587,591,588
587,591,588,587,591,588
585,582,588,585,595,588
585,582,588,585,595,588
585,582,588,585,595,588
583,575,586,593,591,582
583,575,586,593,591,582
586,591,598,587,589,596
586,591,598,587,589,596
586,591,598,587,589,596
586,582,594,588,578,579
586,582,594,588,578,579
586,582,594,588,578,579
586,580,592,586,596,600
586,580,592,586,596,600
585,587,590,591,600,589
585,587,590,591,600,589
585,587,590,591,600,589
587,580,593,583,590,583
587,580,593,583,590,583
587,580,593,583,590,583
585,587,594,591,600,583
585,587,594,591,600,583
585,587,594,591,600,583
585,583,600,575,585,591
585,583,600,575,585,591
587,578,588,595,601,587
587,578,588,595,601,587
587,578,588,595,601,587
588,587,593,596,592,590
588,587,593,596,592,590
588,587,593,596,592,590
588,587,579,581,598,591
588,587,579,581,598,591
588,591,580,583,603,585
587,594,585,588,589,590
587,594,585,588,589,590
585,586,583,598,595,591
585,586,583,598,595,591
585,586,583,598,595,591
588,599,590,581,589,577
588,599,590,581,589,577
588,599,590,581,589,577
585,597,598,590,598,588
585,597,598,590,598,588
585,596,593,586,583,585
585,596,593,586,583,585
585,596,593,586,583,585
583,586,595,577,586,599
583,586,595,577,586,599
583,586,595,577,586,599
585,583,580,595,594,583
585,583,580,595,594,583
583,585,585,591,593,590
590,578,598,593,595,587
590,578,598,593,595,587
589,597,583,593,594,596
589,597,583,593,594,596
589,597,583,593,594,596
585,574,578,585,594,586
585,574,578,585,594,586
585,574,578,585,594,586
585,586,597,591,591,588
585,586,597,591,591,588
584,594,590,585,595,583
584,594,590,585,595,583
584,594,590,585,595,583
586,583,590,585,596,593
586,583,590,585,596,593
586,583,590,585,596,593
587,588,589,582,601,577
587,588,589,582,601,577
587,588,589,582,601,577
585,595,587,583,590,579
585,595,587,583,590,579
585,586,594,595,591,593
585,586,594,595,591,593
585,586,594,595,591,593
583,587,601,593,583,585
583,587,601,593,583,585
583,587,601,593,583,585
588,583,600,581,591,588
588,583,600,581,591,588
588,583,600,581,591,588
586,587,596,590,591,591
586,587,596,590,591,591
588,587,590,584,594,589
588,587,590,584,594,589
588,587,590,584,594,589
583,591,595,591,600,583
583,591,595,591,600,583
583,591,595,591,600,583
588,589,591,593,600,577
588,589,591,593,600,577
587,585,601,589,593,575
587,585,601,589,593,575
587,585,601,589,593,575
588,593,602,589,593,584
588,593,602,589,593,584
588,593,602,589,593,584
589,574,587,590,601,596
589,574,587,590,601,596
589,574,587,590,601,596
585,578,589,591,585,591
585,578,589,591,585,591
585,585,593,595,599,585
585,585,593,595,599,585
585,585,593,595,599,585
585,590,593,585,595,586
585,590,593,585,595,586
585,590,593,585,595,586
587,583,581,593,598,586
587,583,581,593,598,586
587,583,581,593,598,586
586,587,591,595,599,586
586,587,591,595,599,586
585,581,585,585,587,585
585,581,585,585,587,585
585,581,585,585,587,585
583,579,590,595,598,588
583,579,590,595,598,588
583,579,590,595,598,588
587,585,589,591,588,593
587,585,589,591,588,593
585,587,588,577,594,591
585,587,588,577,594,591
585,587,588,577,594,591
585,591,593,588,583,585
585,591,593,588,583,585
585,591,593,588,583,585
585,583,577,592,597,591
585,583,577,592,597,591
585,583,577,592,597,591
586,594,579,587,586,579
586,594,579,587,586,579
585,589,593,583,583,587
585,589,593,583,583,587
585,589,593,583,583,587
583,585,596,587,597,585
583,585,596,587,597,585
583,585,596,587,597,585
585,588,586,591,600,595
585,588,586,591,600,595
585,588,586,591,600,595
585,588,588,594,594,588
585,588,588,594,594,588
583,572,583,589,605,588
583,572,583,589,605,588
583,572,583,589,605,588
588,587,595,591,586,586
588,587,595,591,586,586
588,587,595,591,586,586
585,598,599,596,591,579
585,598,599,596,591,579
585,572,582,586,594,591
585,572,582,586,594,591
585,572,582,586,594,591
588,589,579,585,594,581
588,589,579,585,594,581
588,589,579,585,594,581
583,589,595,588,595,586
583,589,595,588,595,586
583,589,595,588,595,586
586,596,579,600,591,595
586,596,579,600,591,595
585,589,589,588,596,588
585,589,589,588,596,588
585,589,589,588,596,588
585,585,582,591,591,591
585,585,582,591,591,591
585,585,582,591,591,591
585,587,579,578,598,595
585,587,579,578,598,595
585,587,579,578,598,595
585,593,591,589,591,579
585,593,591,589,591,579
587,591,595,593,595,585
587,591,595,593,595,585
587,591,595,593,595,585
588,590,594,589,590,580
588,590,594,589,590,580
588,590,594,589,590,580
584,595,585,588,591,587
584,595,585,588,591,587
