ch1,ch2,ch3,ch4,ch5,ch6
588,571,591,581,602,595
581,590,593,582,604,585
581,590,593,582,604,585
581,590,593,582,604,585
585,573,577,589,591,585
585,573,577,589,591,585
582,577,599,593,588,591
582,577,599,593,588,591
582,577,599,593,588,591
582,577,599,593,588,591
586,596,587,583,590,595
586,596,587,583,590,595
587,604,599,580,597,581
587,604,599,580,597,581
587,589,588,588,588,595
587,589,588,588,588,595
587,589,588,588,588,595
590,597,600,588,594,575
590,597,600,588,594,575
590,597,600,588,594,575
585,581,597,581,595,595
585,581,597,581,595,595
585,581,597,581,595,595
585,577,599,588,583,579
585,577,599,588,583,579
586,590,593,575,604,598
586,590,593,575,604,598
586,590,593,575,604,598
588,601,591,595,585,574
588,601,591,595,585,574
588,601,591,595,585,574
586,592,575,583,587,585
586,592,575,583,587,585
586,592,575,583,587,585
585,583,600,575,598,596
585,583,600,575,598,596
585,583,600,575,598,596
587,580,582,596,593,591
587,580,582,596,593,591
585,599,596,583,599,596
584,605,585,587,594,595
584,605,585,587,594,595
584,605,585,587,594,595
585,575,587,593,583,589
585,575,587,593,583,589
586,582,594,581,590,585
586,582,594,581,590,585
586,582,594,581,590,585
587,585,587,583,595,583
587,585,587,583,595,583
583,582,585,596,588,597
583,582,585,596,588,597
583,582,585,596,588,597
583,590,590,581,597,582
583,590,590,581,597,582
583,590,590,581,597,582
586,591,583,583,594,583
586,591,583,583,594,583
586,591,583,583,594,583
587,568,585,585,582,590
587,568,585,585,582,590
595,588,585,585,599,589
595,588,585,585,599,589
595,588,585,585,599,589
587,595,596,595,598,588
587,595,596,595,598,588
587,595,596,595,598,588
589,588,593,583,602,575
589,588,593,583,602,575
591,587,588,585,599,583
591,587,588,585,599,583
591,587,588,585,599,583
583,586,588,575,595,593
583,586,588,575,595,593
583,586,588,575,595,593
583,591,591,587,586,591
583,591,591,587,586,591
583,591,591,587,586,591
588,589,588,591,598,598
588,589,588,591,598,598
587,579,597,593,598,583
587,579,597,593,598,583
587,579,597,593,598,583
583,588,585,595,593,591
583,588,585,595,593,591
583,588,585,595,593,591
585,583,582,590,588,582
585,583,582,590,588,582
585,583,582,590,588,582
590,600,588,587,599,582
590,600,588,587,599,582
589,593,593,588,589,598
589,593,593,588,589,598
589,593,593,588,589,598
585,585,583,585,591,582
585,585,583,585,591,582
585,585,583,585,591,582
583,586,593,598,600,579
583,586,593,598,600,579
589,590,600,588,594,588
589,590,600,588,594,588
589,590,600,588,594,588
587,600,583,591,602,591
587,600,583,591,602,591
587,600,583,591,602,591
585,583,598,591,585,594
585,583,598,591,585,594
585,583,598,591,585,594
585,574,580,593,598,592
585,574,580,593,598,592
582,589,582,582,595,582
582,589,582,582,595,582
582,589,582,582,595,582
585,590,589,593,595,597
585,590,589,593,595,597
585,590,589,593,595,597
586,575,593,591,593,582
586,575,593,591,593,582
586,575,593,591,593,582
578,579,589,597,593,597
578,579,589,597,593,597
578,594,592,585,589,588
578,594,592,585,589,588
578,594,592,585,589,588
582,579,595,577,589,574
582,579,595,577,589,574
582,579,595,577,589,574
588,590,596,591,597,588
588,590,596,591,597,588
592,587,583,583,585,579
592,587,583,583,585,579
592,587,583,583,585,579
590,586,585,594,600,583
590,586,585,594,600,583
590,586,585,594,600,583
585,583,579,587,596,595
585,583,579,587,596,595
585,583,579,587,596,595
582,599,594,585,587,589
582,599,594,585,587,589
583,579,579,587,597,588
583,579,579,587,597,588
583,579,579,587,597,588
587,579,586,591,595,595
587,579,586,591,595,595
587,579,586,591,595,595
585,583,590,590,595,588
585,583,590,590,595,588
585,583,590,590,595,588
586,583,587,587,595,590
586,583,587,587,595,590
585,589,593,595,593,591
585,589,593,595,593,591
585,589,593,595,593,591
584,596,596,595,598,591
584,596,596,595,598,591
584,596,596,595,598,591
589,591,583,583,587,577
589,591,583,583,587,577
583,573,572,580,588,585
583,573,572,580,588,585
583,573,572,580,588,585
585,581,590,581,588,589
585,581,590,581,588,589
585,581,590,581,588,589
588,589,593,586,596,598
588,589,593,586,596,598
588,589,593,586,596,598
588,590,589,583,603,587
588,590,589,583,603,587
588,585,595,591,602,582
588,585,595,591,602,582
588,585,595,591,602,582
585,587,590,583,588,583
585,587,590,583,588,583
585,587,590,583,588,583
585,590,583,595,586,588
585,590,583,595,586,588
583,598,602,591,591,577
583,598,602,591,591,577
583,598,602,591,591,577
585,588,588,588,597,590
585,588,588,588,597,590
585,588,588,588,597,590
583,587,595,594,598,595
583,587,595,594,598,595
583,587,595,594,598,595
585,580,588,583,593,585
585,580,588,583,593,585
588,601,593,590,600,583
588,601,593,590,600,583
588,601,593,590,600,583
589,588,581,579,595,589
589,588,581,579,595,589
589,588,581,579,595,589
588,575,597,596,601,587
588,575,597,596,601,587
588,575,597,596,601,587
583,587,578,579,593,588
583,587,578,579,593,588
583,583,591,587,598,595
583,583,591,587,598,595
583,583,591,587,598,595
583,583,595,588,587,591
583,583,595,588,587,591
583,583,595,588,587,591
582,569,597,591,598,592
582,569,597,591,598,592
582,569,597,591,598,592
584,583,590,591,597,589
584,583,590,591,597,589
584,585,589,585,598,591
584,585,589,585,598,591
584,585,589,585,598,591
588,594,578,590,594,586
588,594,578,590,594,586
582,583,581,587,596,588
582,583,581,587,596,588
589,578,588,585,601,593
589,578,588,585,601,593
589,578,588,585,601,593
582,585,590,595,583,579
582,585,590,595,583,579
582,585,590,595,583,579
588,585,581,579,597,596
588,585,581,579,597,596
588,585,581,579,597,596
590,578,582,579,590,588
590,578,582,579,590,588
586,589,588,583,591,587
586,589,588,583,591,587
586,589,588,583,591,587
583,575,599,586,598,588
583,575,599,586,598,588
583,575,599,586,598,588
588,592,575,588,603,598
588,592,575,588,603,598
588,592,575,588,603,598
589,588,575,587,583,575
589,588,575,587,583,575
587,593,600,597,594,585
587,593,600,597,594,585
587,593,600,597,594,585
585,591,595,588,599,597
585,591,595,588,599,597
585,591,595,588,599,597
580,587,588,581,593,594
580,587,588,581,593,594
582,596,597,598,601,587
582,596,597,598,601,587
582,596,597,598,601,587
585,588,596,579,585,580
585,588,596,579,585,580
585,588,596,579,585,580
589,590,591,588,589,588
589,590,591,588,589,588
589,590,591,588,589,588
586,583,591,593,600,588
586,583,591,593,600,588
587,582,581,584,593,589
587,582,581,584,593,589
587,582,581,584,593,589
583,589,582,583,599,588
583,589,582,583,599,588
583,589,582,583,599,588
583,586,587,589,602,591
583,586,587,589,602,591
588,585,597,590,590,593
588,585,597,590,590,593
588,585,597,590,590,593
586,579,577,577,595,579
586,579,577,577,595,579
586,579,577,577,595,579
587,595,597,584,597,586
587,595,597,584,597,586
587,595,597,584,597,586
587,588,600,584,597,582
587,588,600,584,597,582
582,594,598,591,588,585
582,594,598,591,588,585
582,594,598,591,588,585
583,598,595,583,585,592
583,598,595,583,585,592
583,598,595,583,585,592
585,582,585,574,585,595
585,582,585,574,585,595
585,582,585,574,585,595
593,590,595,591,591,590
593,590,595,591,591,590
587,588,578,585,582,581
589,588,593,593,595,597
589,588,593,593,595,597
588,600,589,587,595,590
588,600,589,587,595,590
588,600,589,587,595,590
583,590,596,582,604,589
583,590,596,582,604,589
583,590,596,582,604,589
583,575,591,590,588,589
583,575,591,590,588,589
583,600,595,595,593,598
583,600,595,595,593,598
583,600,595,595,593,598
585,591,597,593,593,585
585,591,597,593,593,585
585,591,597,593,593,585
583,580,578,579,581,583
583,580,578,579,581,583
583,581,579,575,599,582
583,581,579,575,599,582
583,581,579,575,599,582
586,569,586,577,595,583
586,569,586,577,595,583
586,569,586,577,595,583
585,593,595,583,591,583
585,593,595,583,591,583
585,593,595,583,591,583
587,588,579,593,591,593
587,588,579,593,591,593
583,580,591,578,589,586
583,580,591,578,589,586
583,580,591,578,589,586
583,579,587,579,580,595
583,579,587,579,580,595
583,579,587,579,580,595
588,595,591,588,591,589
588,595,591,588,591,589
589,593,597,595,600,591
589,593,597,595,600,591
589,593,597,595,600,591
588,590,583,583,594,578
588,590,583,583,594,578
588,590,583,583,594,578
582,587,586,594,597,594
582,587,586,594,597,594
582,587,586,594,597,594
583,588,601,590,601,583
583,588,601,590,601,583
587,583,588,585,591,583
587,583,588,585,591,583
587,583,588,585,591,583
583,587,586,583,588,581
583,587,586,583,588,581
583,587,586,583,588,581
582,583,589,596,595,588
582,583,589,596,595,588
582,583,589,596,595,588
580,583,591,583,591,583
580,583,591,583,591,583
591,591,590,590,594,585
591,591,590,590,594,585
591,591,590,590,594,585
588,590,582,588,583,596
588,590,582,588,583,596
588,590,582,588,583,596
589,587,591,588,592,579
589,587,591,588,592,579
589,587,591,588,592,579
589,585,591,583,595,591
589,585,591,583,595,591
583,594,599,587,603,596
583,594,599,587,603,596
583,594,599,587,603,596
583,588,583,573,598,583
583,588,583,573,598,583
583,588,583,573,598,583
581,593,598,590,600,589
581,593,598,590,600,589
586,579,590,583,603,590
586,579,590,583,603,590
586,579,590,583,603,590
588,597,588,588,584,582
588,597,588,588,584,582
588,597,588,588,584,582
593,600,591,594,592,583
593,600,591,594,592,583
593,600,591,594,592,583
590,593,597,591,603,591
590,593,597,591,603,591
583,584,593,599,595,594
583,584,593,599,595,594
583,584,593,599,595,594
587,588,581,592,592,593
587,588,581,592,592,593
587,588,581,592,592,593
587,594,599,585,595,583
587,594,599,585,595,583
587,594,599,585,595,583
582,591,600,595,591,582
582,591,600,595,591,582
586,586,582,582,589,582
586,586,582,582,589,582
586,586,582,582,589,582
585,575,589,583,588,591
585,575,589,583,588,591
585,575,589,583,588,591
587,586,594,591,591,590
587,586,594,591,591,590
586,596,591,592,597,584
586,596,591,592,597,584
586,596,591,592,597,584
585,584,596,591,587,593
585,584,596,591,587,593
585,584,596,591,587,593
582,590,595,595,600,592
582,590,595,595,600,592
582,590,595,595,600,592
587,593,581,587,594,587
587,593,581,587,594,587
587,587,588,583,591,587
587,587,588,583,591,587
587,587,588,583,591,587
588,590,591,587,591,591
588,590,591,587,591,591
588,590,591,587,591,591
586,585,591,587,584,590
586,585,591,587,584,590
586,585,591,587,584,590
579,599,591,595,594,587
579,599,591,595,594,587
585,574,581,581,583,580
585,574,581,581,583,580
585,574,581,581,583,580
590,586,591,591,598,594
590,586,591,591,598,594
590,586,591,591,598,594
590,573,601,588,588,590
590,573,601,588,588,590
587,593,600,596,600,592
587,593,600,596,600,592
587,593,600,596,600,592
588,588,586,589,597,592
588,588,586,589,597,592
588,588,586,589,597,592
585,588,577,582,601,600
585,588,577,582,601,600
585,588,577,582,601,600
586,595,583,591,600,591
586,595,583,591,600,591
583,588,590,590,593,594
583,588,590,590,593,594
583,588,590,590,593,594
584,592,597,591,597,585
584,592,597,591,597,585
584,592,597,591,597,585
586,589,588,594,588,586
586,589,588,594,588,586
585,591,588,595,591,588
586,579,588,575,591,586
586,579,588,575,591,586
589,590,583,568,597,600
589,590,583,568,597,600
589,590,583,568,597,600
589,591,595,582,586,581
589,591,595,582,586,581
589,591,595,582,586,581
587,588,582,587,591,583
587,588,582,587,591,583
583,583,595,585,598,593
583,583,595,585,598,593
583,583,595,585,598,593
580,590,589,585,600,590
580,590,589,585,600,590
580,590,589,585,600,590
581,593,589,595,591,588
581,593,589,595,591,588
581,593,589,595,591,588
590,585,584,586,600,591
590,585,584,586,600,591
590,585,584,586,600,591
588,595,602,593,588,579
588,595,602,593,588,579
586,582,582,579,583,575
586,582,582,579,583,575
586,582,582,579,583,575
582,585,587,593,597,582
582,585,587,593,597,582
582,585,587,593,597,582
585,580,586,586,598,580
585,580,586,586,598,580
580,589,577,583,600,595
580,589,577,583,600,595
580,589,577,583,600,595
587,583,588,588,591,588
587,583,588,588,591,588
587,583,588,588,591,588
588,587,596,591,589,579
588,587,596,591,589,579
590,595,601,587,600,590
590,595,601,587,600,590
590,595,601,587,600,590
588,593,590,587,591,584
588,593,590,587,591,584
588,593,590,587,591,584
585,588,588,588,583,595
585,588,588,588,583,595
585,588,588,588,583,595
585,596,585,597,595,588
585,596,585,597,595,588
583,589,588,592,595,589
583,589,588,592,595,589
583,589,588,592,595,589
583,588,588,590,597,583
583,588,588,590,597,583
583,588,588,590,597,583
581,585,590,585,589,583
581,585,590,585,589,583
581,585,590,585,589,583
591,583,574,583,593,591
591,583,574,583,593,591
595,596,595,593,595,582
595,596,595,593,595,582
595,596,595,593,595,582
595,580,590,591,600,590
595,580,590,591,600,590
595,580,590,591,600,590
588,595,587,581,587,594
588,595,587,581,587,594
589,583,586,591,594,587
589,583,586,591,594,587
589,583,586,591,594,587
583,590,592,589,579,589
583,590,592,589,579,589
583,590,592,589,579,589
582,595,587,587,593,582
582,595,587,587,593,582
582,595,587,587,593,582
589,575,600,595,596,595
589,575,600,595,596,595
590,599,600,587,591,588
590,599,600,587,591,588
590,599,600,587,591,588
588,583,597,583,604,588
588,583,597,583,604,588
588,583,597,583,604,588
590,583,591,595,598,597
590,583,591,595,598,597
590,583,591,595,598,597
584,583,588,591,600,581
584,583,588,591,600,581
583,586,590,593,595,590
583,586,590,593,595,590
583,586,590,593,595,590
590,590,598,587,591,591
590,590,598,587,591,591
590,590,598,587,591,591
583,595,583,595,596,591
583,595,583,595,596,591
582,594,593,593,600,587
582,594,593,593,600,587
582,594,593,593,600,587
583,595,589,573,590,593
583,595,589,573,590,593
583,595,589,573,590,593
583,590,595,583,596,587
583,590,595,583,596,587
583,590,595,583,596,587
581,590,586,593,591,583
581,590,586,593,591,583
586,584,594,599,595,594
586,584,594,599,595,594
586,584,594,599,595,594
585,575,577,580,600,591
585,575,577,580,600,591
585,575,577,580,600,591
587,572,597,585,591,586
587,572,597,585,591,586
587,572,597,585,591,586
583,586,593,591,591,583
583,586,593,591,591,583
588,590,596,591,591,585
588,590,596,591,591,585
588,590,596,591,591,585
582,594,586,579,595,593
582,594,586,579,595,593
582,594,586,579,595,593
585,589,586,583,598,592
585,589,586,583,598,592
573,587,593,591,595,588
573,587,593,591,595,588
573,587,593,591,595,588
583,591,583,583,590,579
583,591,583,583,590,579
583,591,583,583,590,579
594,585,600,589,595,589
594,585,600,589,595,589
594,585,600,589,595,589
592,579,585,579,587,593
592,579,585,579,587,593
588,581,582,588,594,595
588,581,582,588,594,595
588,581,582,588,594,595
584,593,585,585,600,588
584,593,585,585,600,588
588,593,590,596,595,582
588,593,590,596,595,582
588,593,590,596,595,582
590,591,583,579,589,587
590,591,583,579,589,587
583,573,594,586,595,595
583,573,594,586,595,595
583,573,594,586,595,595
588,592,582,595,597,577
588,592,582,595,597,577
588,592,582,595,597,577
583,572,589,594,598,586
583,572,589,594,598,586
583,572,589,594,598,586
586,588,595,595,600,595
586,588,595,595,600,595
583,595,594,586,592,590
583,595,594,586,592,590
583,595,594,586,592,590
566,588,589,589,600,585
566,588,589,589,600,585
566,588,589,589,600,585
589,589,577,585,598,593
589,589,577,585,598,593
595,591,599,593,596,583
595,591,599,593,596,583
595,591,599,593,596,583
591,587,598,598,605,588
591,587,598,598,605,588
591,587,598,598,605,588
585,591,594,591,599,581
585,591,594,591,599,581
585,591,594,591,599,581
586,579,581,583,583,596
586,579,581,583,583,596
585,591,583,589,591,587
585,591,583,589,591,587
585,591,583,589,591,587
585,580,587,583,589,586
585,580,587,583,589,586
585,580,587,583,589,586
587,590,595,594,599,581
587,590,595,594,599,581
585,589,593,583,600,585
585,589,593,583,600,585
585,589,593,583,600,585
582,581,587,591,593,589
582,581,587,591,593,589
582,581,587,591,593,589
585,581,593,594,580,590
585,581,593,594,580,590
585,581,593,594,580,590
587,585,593,595,588,591
587,585,593,595,588,591
589,596,595,579,591,591
589,596,595,579,591,591
589,596,595,579,591,591
591,583,599,591,601,593
591,583,599,591,601,593
591,583,599,591,601,593
583,595,591,591,600,595
583,595,591,591,600,595
583,595,591,591,600,595
588,574,589,588,600,591
588,574,589,588,600,591
582,589,588,579,591,582
582,589,588,579,591,582
582,589,588,579,591,582
583,599,597,596,591,590
583,599,597,596,591,590
583,599,597,596,591,590
583,589,591,583,600,583
583,589,591,583,600,583
583,585,597,591,599,588
583,585,597,591,599,588
583,585,597,591,599,588
583,582,591,587,598,587
583,582,591,587,598,587
583,582,591,587,598,587
585,588,583,583,595,585
585,588,583,583,595,585
585,588,583,583,595,585
591,590,604,587,583,591
591,590,604,587,583,591
585,583,593,591,588,593
585,583,593,591,588,593
585,583,593,591,588,593
587,583,595,591,587,579
587,583,595,591,587,579
587,583,595,591,587,579
582,581,584,591,593,591
582,581,584,591,593,591
582,581,584,591,593,591
583,591,595,583,582,591
583,591,595,583,582,591
589,585,588,593,595,585
589,585,588,593,595,585
589,585,588,593,595,585
583,591,594,575,591,585
583,591,594,575,591,585
583,591,594,575,591,585
587,587,587,589,604,590
587,587,587,589,604,590
585,582,594,583,589,590
586,583,591,590,588,579
586,583,591,590,588,579
583,583,580,583,593,591
583,583,580,583,593,591
583,583,580,583,593,591
589,588,587,589,598,583
589,588,587,589,598,583
589,588,587,589,598,583
583,588,587,590,585,587
583,588,587,590,585,587
579,590,596,589,591,591
579,590,596,589,591,591
579,590,596,589,591,591
592,588,589,580,594,587
592,588,589,580,594,587
592,588,589,580,594,587
596,578,590,597,601,591
596,578,590,597,601,591
596,578,590,597,601,591
591,595,598,578,598,583
591,595,598,578,598,583
583,587,592,588,583,591
583,587,592,588,583,591
583,587,592,588,583,591
580,590,588,596,600,579
580,590,588,596,600,579
580,590,588,596,600,579
582,574,585,590,586,591
582,574,585,590,586,591
583,583,589,585,592,589
583,583,589,585,592,589
583,583,589,585,592,589
581,578,596,587,585,597
581,578,596,587,585,597
581,578,596,587,585,597
583,596,590,586,595,588
583,596,590,586,595,588
583,596,590,586,595,588
588,588,588,588,588,600
588,588,588,588,588,600
587,591,582,594,583,583
587,591,582,594,583,583
587,591,582,594,583,583
587,575,591,583,588,577
587,575,591,583,588,577
