ch1,ch2,ch3,ch4,ch5,ch6
585,595,591,591,591,595
585,595,591,591,591,595
595,592,595,575,596,591
595,592,595,575,596,591
595,592,595,575,596,591
578,595,599,585,600,588
578,595,599,585,600,588
578,595,599,585,600,588
582,588,595,583,595,596
582,588,595,583,595,596
577,583,601,589,600,595
577,583,601,589,600,595
577,583,601,589,600,595
582,578,586,590,583,583
582,578,586,590,583,583
582,578,586,590,583,583
591,581,579,588,601,590
591,581,579,588,601,590
591,581,579,588,601,590
587,594,588,575,595,579
587,594,588,575,595,579
583,593,586,582,587,588
583,593,586,582,587,588
583,593,586,582,587,588
588,592,594,588,595,575
588,592,594,588,595,575
588,592,594,588,595,575
583,585,581,577,598,583
583,585,581,577,598,583
585,583,585,594,586,594
583,579,602,583,593,575
583,579,602,583,593,575
595,577,583,590,591,591
595,577,583,590,591,591
595,577,583,590,591,591
575,582,591,583,601,589
575,582,591,583,601,589
575,582,591,583,601,589
577,588,590,585,588,583
577,588,590,585,588,583
583,595,589,585,600,590
583,595,589,585,600,590
583,595,589,585,600,590
578,591,589,579,598,595
578,591,589,579,598,595
578,591,589,579,598,595
582,594,582,585,585,594
582,594,582,585,585,594
583,583,593,599,595,578
588,583,579,580,590,583
588,583,579,580,590,583
590,575,589,588,595,594
590,575,589,588,595,594
590,575,589,588,595,594
583,579,583,589,592,586
583,579,583,589,592,586
583,579,583,589,592,586
574,578,578,589,597,587
574,578,578,589,597,587
585,593,588,585,596,591
585,593,588,585,596,591
585,593,588,585,596,591
585,597,591,583,595,583
585,597,591,583,595,583
585,597,591,583,595,583
582,593,595,594,593,578
582,593,595,594,593,578
582,593,595,594,593,578
587,579,591,596,595,590
587,579,591,596,595,590
575,580,588,591,593,591
575,580,588,591,593,591
575,580,588,591,593,591
583,583,595,583,587,583
583,583,595,583,587,583
583,583,595,583,587,583
586,585,589,595,600,591
586,585,589,595,600,591
586,585,589,595,600,591
575,590,599,579,585,587
575,590,599,579,585,587
581,593,585,589,588,587
581,593,585,589,588,587
581,593,585,589,588,587
590,595,587,583,592,590
590,595,587,583,592,590
590,595,587,583,592,590
585,583,585,591,594,593
585,583,585,591,594,593
579,578,595,585,595,590
579,578,595,585,595,590
579,578,595,585,595,590
575,579,589,594,592,593
575,579,589,594,592,593
575,579,589,594,592,593
584,581,585,583,583,585
584,581,585,583,583,585
584,581,585,583,583,585
574,589,593,592,601,590
574,589,593,592,601,590
591,594,590,589,594,586
591,594,590,589,594,586
591,594,590,589,594,586
579,591,597,572,597,589
579,591,597,572,597,589
579,591,597,572,597,589
587,592,591,582,595,591
587,592,591,582,595,591
575,587,587,589,593,598
591,586,594,588,594,583
591,586,594,588,594,583
585,578,585,582,583,582
585,578,585,582,583,582
585,578,585,582,583,582
577,579,598,583,591,588
577,579,598,583,591,588
577,579,598,583,591,588
590,591,585,585,590,585
590,591,585,585,590,585
574,590,575,588,588,588
574,590,575,588,588,588
574,590,575,588,588,588
583,588,591,578,592,593
583,588,591,578,592,593
583,588,591,578,592,593
582,595,591,588,579,588
582,595,591,588,579,588
582,595,591,588,579,588
585,585,593,583,595,579
585,585,593,583,595,579
585,575,595,591,589,588
585,575,595,591,589,588
585,575,595,591,589,588
591,587,593,588,585,579
591,587,593,588,585,579
591,587,593,588,585,579
579,583,593,588,587,595
579,583,593,588,587,595
579,583,593,588,587,595
588,584,589,577,600,591
588,584,589,577,600,591
573,595,588,585,591,584
573,595,588,585,591,584
573,595,588,585,591,584
575,593,583,575,591,591
575,593,583,575,591,591
575,593,583,575,591,591
591,590,587,591,601,588
591,590,587,591,601,588
582,583,591,589,591,587
582,583,591,589,591,587
582,583,591,589,591,587
579,575,587,591,597,590
579,575,587,591,597,590
579,575,587,591,597,590
591,578,591,585,600,593
591,578,591,585,600,593
591,578,591,585,600,593
586,588,580,591,595,585
586,588,580,591,595,585
577,595,593,593,593,587
577,595,593,593,593,587
577,595,593,593,593,587
579,595,598,575,591,577
579,595,598,575,591,577
579,595,598,575,591,577
595,590,597,588,599,587
595,590,597,588,599,587
595,590,597,588,599,587
583,583,591,577,604,585
583,583,591,577,604,585
586,575,596,585,600,593
586,575,596,585,600,593
586,575,596,585,600,593
588,583,591,594,596,579
588,583,591,594,596,579
588,583,591,594,596,579
572,587,580,577,593,591
572,587,580,577,593,591
585,589,585,585,587,583
585,589,585,585,587,583
585,589,585,585,587,583
588,595,593,585,594,578
588,595,593,585,594,578
588,595,593,585,594,578
575,593,591,585,593,579
575,593,591,585,593,579
575,593,591,585,593,579
595,585,586,583,602,590
595,585,586,583,602,590
588,582,597,595,602,582
588,582,597,595,602,582
588,582,597,595,602,582
589,582,579,589,591,586
589,582,579,589,591,586
589,582,579,589,591,586
590,575,587,583,589,589
590,575,587,583,589,589
590,575,587,583,589,589
585,589,589,582,585,582
585,589,589,582,585,582
591,595,586,580,593,582
591,595,586,580,593,582
591,595,586,580,593,582
583,597,579,585,584,589
583,597,579,585,584,589
583,597,579,585,584,589
575,588,595,583,583,594
575,588,595,583,583,594
579,579,589,583,595,587
579,579,589,583,595,587
579,579,589,583,595,587
574,575,589,583,591,581
574,575,589,583,591,581
574,575,589,583,591,581
588,578,588,583,591,589
588,578,588,583,591,589
588,578,588,583,591,589
585,585,593,588,592,591
585,585,593,588,592,591
590,592,591,588,588,582
590,592,591,588,588,582
590,592,591,588,588,582
587,596,588,591,606,585
587,596,588,591,606,585
587,596,588,591,606,585
585,589,585,583,590,587
585,589,585,583,590,587
587,583,583,590,594,583
587,583,583,590,594,583
587,583,583,590,594,583
591,583,595,589,594,587
591,583,595,589,594,587
579,579,586,585,600,590
579,579,586,585,600,590
579,579,586,585,600,590
583,585,594,591,593,587
583,585,594,591,593,587
583,585,594,591,593,587
585,588,600,583,589,585
585,588,600,583,589,585
585,588,600,583,589,585
580,591,588,590,595,589
580,591,588,590,595,589
587,593,580,583,602,583
587,593,580,583,602,583
587,593,580,583,602,583
584,588,598,587,599,589
584,588,598,587,599,589
584,588,598,587,599,589
583,583,575,586,587,591
583,583,575,586,587,591
583,583,575,586,587,591
596,582,592,586,598,582
596,582,592,586,598,582
590,579,588,590,589,587
590,579,588,590,589,587
590,579,588,590,589,587
585,586,600,596,585,586
585,586,600,596,585,586
585,586,600,596,585,586
589,590,588,591,594,588
589,590,588,591,594,588
580,594,591,591,585,588
580,594,591,591,585,588
580,594,591,591,585,588
591,589,591,591,595,588
591,589,591,591,595,588
591,589,591,591,595,588
579,582,598,587,593,583
579,582,598,587,593,583
579,582,598,587,593,583
571,579,583,586,595,594
571,579,583,586,595,594
585,580,590,592,595,593
585,580,590,592,595,593
585,580,590,592,595,593
578,586,585,585,589,589
578,586,585,585,589,589
578,586,585,585,589,589
582,590,582,591,589,574
582,590,582,591,589,574
583,595,585,583,593,588
595,596,589,581,585,590
595,596,589,581,585,590
583,595,589,595,594,591
583,595,589,595,594,591
583,595,589,595,594,591
583,595,589,595,594,591
587,585,583,579,595,593
587,585,583,579,595,593
583,577,591,583,595,594
583,577,591,583,595,594
579,578,589,583,587,585
579,578,589,583,587,585
579,578,589,583,587,585
586,579,579,580,595,590
586,579,579,580,595,590
586,579,579,580,595,590
580,592,583,594,595,577
580,592,583,594,595,577
580,592,583,594,595,577
585,595,590,594,592,594
585,595,590,594,592,594
575,595,597,587,587,587
575,595,597,587,587,587
575,595,597,587,587,587
581,587,587,582,595,591
581,587,587,582,595,591
581,587,587,582,595,591
577,588,579,587,595,596
577,588,579,587,595,596
582,579,595,578,599,583
588,578,587,583,591,594
588,578,587,583,591,594
579,579,596,588,593,590
579,579,596,588,593,590
579,579,596,588,593,590
585,588,589,594,600,591
