ch1,ch2,ch3,ch4,ch5,ch6
583,575,590,578,587,582
583,583,591,581,590,587
583,583,591,581,590,587
583,583,591,581,590,587
583,599,590,585,590,585
583,599,590,585,590,585
583,599,590,585,590,585
583,583,573,597,603,587
583,583,573,597,603,587
585,589,582,594,598,588
585,589,582,594,598,588
585,589,582,594,598,588
588,575,600,588,583,588
588,575,600,588,583,588
588,575,600,588,583,588
582,588,599,586,593,579
582,588,599,586,593,579
582,588,599,586,593,579
583,599,585,585,591,581
583,599,585,585,591,581
585,601,597,594,595,595
585,601,597,594,595,595
585,601,597,594,595,595
585,583,600,575,585,590
585,583,600,575,585,590
585,583,600,575,585,590
585,595,589,583,585,578
585,595,589,583,585,578
585,600,604,589,601,595
585,600,604,589,601,595
585,600,604,589,601,595
585,583,591,580,595,587
585,583,591,580,595,587
585,583,591,580,595,587
582,583,591,590,589,591
582,583,591,590,589,591
582,583,591,590,589,591
585,590,600,585,593,584
585,590,600,585,593,584
579,588,601,595,591,589
579,588,601,595,591,589
579,588,601,595,591,589
587,595,589,597,583,585
587,595,589,597,583,585
587,595,589,597,583,585
593,595,593,582,585,589
593,595,593,582,585,589
593,595,593,582,585,589
593,579,598,587,591,585
593,579,598,587,591,585
585,583,587,598,597,581
585,583,587,598,597,581
585,583,587,598,597,581
585,589,573,586,600,589
585,589,573,586,600,589
585,589,573,586,600,589
579,586,583,590,588,593
579,586,583,590,588,593
581,575,588,595,601,595
581,575,588,595,601,595
581,575,588,595,601,595
581,589,575,585,596,583
581,589,575,585,596,583
581,589,575,585,596,583
591,590,593,591,587,588
591,590,593,591,587,588
591,590,593,591,587,588
594,593,595,596,594,589
594,593,595,596,594,589
590,583,587,585,595,591
590,583,587,585,595,591
590,583,587,585,595,591
588,597,593,587,587,590
588,597,593,587,587,590
588,597,593,587,587,590
587,587,587,583,599,595
587,587,587,583,599,595
587,587,587,583,599,595
583,600,600,589,585,583
583,600,600,589,585,583
583,583,592,588,594,589
583,583,592,588,594,589
583,583,592,588,594,589
585,589,581,585,595,579
585,589,581,585,595,579
585,589,581,585,595,579
587,577,601,600,589,591
587,577,601,600,589,591
586,585,587,577,594,590
586,585,587,577,594,590
586,585,587,577,594,590
583,573,589,577,591,589
583,573,589,577,591,589
583,573,589,577,591,589
585,596,593,588,587,591
585,596,593,588,587,591
585,596,593,588,587,591
588,589,590,583,593,589
588,589,590,583,593,589
583,579,585,585,595,590
583,579,585,585,595,590
583,579,585,585,595,590
585,582,584,585,594,574
585,582,584,585,594,574
585,582,584,585,594,574
586,583,593,580,584,579
586,583,593,580,584,579
580,593,587,593,589,583
580,593,587,593,589,583
580,593,587,593,589,583
586,582,584,590,585,599
586,582,584,590,585,599
586,582,584,590,585,599
575,580,583,591,585,589
575,580,583,591,585,589
575,580,583,591,585,589
573,590,587,589,595,583
573,590,587,589,595,583
581,590,580,595,586,582
581,590,580,595,586,582
581,590,580,595,586,582
594,590,591,591,595,583
594,590,591,591,595,583
594,590,591,591,595,583
595,583,585,585,592,583
595,583,585,585,592,583
595,583,585,585,592,583
596,580,575,583,585,582
596,580,575,583,585,582
591,590,587,593,600,583
591,590,587,593,600,583
591,590,587,593,600,583
583,591,583,585,595,591
583,591,583,585,595,591
583,591,583,585,595,591
583,588,595,594,598,595
583,588,595,594,598,595
587,583,581,592,599,591
587,583,581,592,599,591
587,583,581,592,599,591
586,593,585,589,583,589
586,593,585,589,583,589
586,593,585,589,583,589
586,587,595,586,591,577
586,587,595,586,591,577
586,587,595,586,591,577
590,587,603,594,596,589
590,587,603,594,596,589
591,583,597,588,593,597
591,583,597,588,593,597
591,583,597,588,593,597
585,591,585,583,603,575
585,591,585,583,603,575
585,591,585,583,603,575
585,595,588,592,593,595
585,595,588,592,593,595
585,595,588,592,593,595
588,579,601,598,601,590
588,579,601,598,601,590
583,579,575,578,582,582
583,579,575,578,582,582
583,579,575,578,582,582
585,598,595,582,598,595
585,598,595,582,598,595
585,598,595,582,598,595
586,592,583,575,600,583
586,592,583,575,600,583
586,592,583,575,600,583
587,593,590,594,587,582
587,593,590,594,587,582
584,589,594,575,592,583
584,589,594,575,592,583
584,589,594,575,592,583
585,581,591,584,590,595
585,581,591,584,590,595
585,581,591,584,590,595
585,593,593,595,595,588
585,593,593,595,595,588
587,579,592,589,587,590
587,579,592,589,587,590
587,579,592,589,587,590
582,594,595,591,589,585
582,594,595,591,589,585
582,594,595,591,589,585
584,568,597,587,588,589
584,568,597,587,588,589
584,568,597,587,588,589
588,590,588,589,594,588
588,590,588,589,594,588
590,585,585,588,585,598
590,585,585,588,585,598
590,585,585,588,585,598
588,587,591,582,589,581
588,587,591,582,589,581
588,587,591,582,589,581
583,589,595,592,596,585
583,589,595,592,596,585
588,591,589,582,588,583
588,591,589,582,588,583
588,591,589,582,588,583
585,583,579,589,601,595
585,583,579,589,601,595
585,583,579,589,601,595
583,585,597,581,583,586
583,585,597,581,583,586
583,585,597,581,583,586
581,591,590,583,595,593
581,591,590,583,595,593
588,582,587,582,591,593
588,582,587,582,591,593
588,582,587,582,591,593
591,590,595,587,597,588
591,590,595,587,597,588
591,590,595,587,597,588
587,582,581,587,593,593
587,582,581,587,593,593
587,582,581,587,593,593
587,586,592,591,600,594
587,586,592,591,600,594
582,587,596,591,583,583
582,587,596,591,583,583
582,587,596,591,583,583
583,589,595,595,600,591
583,589,595,595,600,591
583,589,595,595,600,591
573,587,589,582,593,585
573,587,589,582,593,585
573,587,589,582,593,585
564,596,593,595,597,583
564,596,593,595,597,583
591,583,601,596,598,583
591,583,601,596,598,583
591,583,601,596,598,583
598,590,596,583,588,577
598,590,596,583,588,577
598,590,596,583,588,577
602,593,590,590,595,593
602,593,590,590,595,593
600,604,583,583,595,588
600,604,583,583,595,588
600,604,583,583,595,588
587,586,581,596,602,590
587,586,581,596,602,590
587,586,581,596,602,590
580,597,596,585,596,588
580,597,596,585,596,588
580,597,596,585,596,588
583,583,583,583,598,589
583,583,583,583,598,589
587,583,579,588,591,588
587,583,579,588,591,588
587,583,579,588,591,588
583,588,595,588,585,587
583,588,595,588,585,587
583,588,595,588,585,587
583,581,587,589,588,581
583,581,587,589,588,581
583,581,587,589,588,581
583,597,587,589,591,583
583,597,587,589,591,583
582,588,588,583,598,594
582,588,588,583,598,594
582,588,588,583,598,594
588,590,588,575,588,592
588,590,588,575,588,592
588,590,588,575,588,592
587,593,590,593,591,583
587,593,590,593,591,583
580,583,588,583,593,592
580,583,588,583,593,592
580,583,588,583,593,592
583,578,595,588,589,583
583,578,595,588,589,583
583,578,595,588,589,583
557,582,594,589,598,583
557,582,594,589,598,583
557,582,594,589,598,583
568,585,579,588,601,594
568,585,579,588,601,594
599,580,577,590,601,591
599,580,577,590,601,591
599,580,577,590,601,591
603,583,589,589,597,581
603,583,589,589,597,581
603,583,589,589,597,581
600,588,591,583,597,595
600,588,591,583,597,595
600,588,591,583,597,595
587,593,595,583,582,590
587,593,595,583,582,590
595,593,599,591,589,588
595,593,599,591,589,588
595,593,599,591,589,588
594,586,596,588,597,589
594,586,596,588,597,589
594,586,596,588,597,589
595,591,588,590,592,583
595,591,588,590,592,583
583,586,585,588,584,580
583,586,585,588,584,580
583,586,585,588,584,580
581,583,581,583,595,577
581,583,581,583,595,577
581,583,581,583,595,577
579,594,595,583,583,595
579,594,595,583,583,595
583,583,593,591,595,583
583,583,593,591,595,583
583,583,593,591,595,583
583,591,594,582,587,590
583,591,594,582,587,590
583,591,594,582,587,590
583,590,591,589,595,593
583,590,591,589,595,593
583,590,591,589,595,593
587,575,585,585,604,590
587,575,585,585,604,590
587,601,601,594,599,583
585,594,579,587,591,587
585,594,579,587,591,587
585,577,583,584,583,585
585,577,583,584,583,585
585,577,583,584,583,585
581,590,588,583,592,583
581,590,588,583,592,583
581,590,588,583,592,583
586,590,597,593,593,590
586,590,597,593,593,590
590,587,588,594,593,599
590,587,588,594,593,599
590,587,588,594,593,599
591,593,577,583,592,590
591,593,577,583,592,590
591,593,577,583,592,590
590,596,583,579,591,603
590,596,583,579,591,603
590,596,583,579,591,603
589,579,579,581,598,590
589,579,579,581,598,590
581,585,591,591,591,577
581,585,591,591,591,577
581,585,591,591,591,577
585,585,598,595,595,587
585,585,598,595,595,587
585,585,598,595,595,587
586,591,595,590,593,589
586,591,595,590,593,589
583,603,591,588,586,581
583,574,593,593,601,588
583,574,593,593,601,588
587,583,582,595,587,595
587,583,582,595,587,595
587,583,582,595,587,595
589,586,593,581,591,576
589,586,593,581,591,576
589,586,593,581,591,576
581,583,603,595,603,590
581,583,603,595,603,590
579,587,588,582,590,580
579,587,588,582,590,580
579,587,588,582,590,580
582,573,579,586,597,597
582,573,579,586,597,597
582,573,579,586,597,597
588,591,583,581,581,597
588,591,583,581,581,597
588,591,583,581,581,597
571,585,592,598,600,588
571,585,592,598,600,588
583,591,595,591,590,581
583,591,595,591,590,581
583,591,595,591,590,581
588,583,583,573,595,590
588,583,583,573,595,590
588,583,583,573,595,590
595,583,583,583,600,594
591,596,580,587,588,583
589,590,591,583,587,583
589,590,591,583,587,583
589,590,591,583,587,583
578,588,591,590,582,585
578,588,591,590,582,585
588,590,583,589,593,581
588,590,583,589,593,581
588,590,583,589,593,581
583,586,595,589,597,594
583,586,595,589,597,594
589,586,590,582,598,588
589,586,590,582,598,588
589,586,590,582,598,588
589,588,583,597,591,595
589,588,583,597,591,595
589,588,583,597,591,595
588,585,595,581,587,574
588,585,595,581,587,574
588,585,595,581,587,574
589,577,585,593,595,587
589,577,585,593,595,587
588,578,588,592,587,597
588,578,588,592,587,597
588,578,588,592,587,597
584,603,591,593,604,597
584,603,591,593,604,597
584,603,591,593,604,597
584,591,580,595,594,585
584,591,580,595,594,585
584,591,580,595,594,585
582,581,583,597,597,591
582,581,583,597,597,591
