ch1,ch2,ch3,ch4,ch5,ch6
587,593,600,594,591,588
587,593,600,594,591,588
585,583,588,583,591,583
585,583,588,583,591,583
585,583,588,583,591,583
583,581,582,589,595,591
583,581,582,589,595,591
585,580,600,590,600,592
585,580,600,590,600,592
585,580,600,590,600,592
582,586,583,583,586,583
582,586,583,583,586,583
582,586,583,583,586,583
588,575,591,583,603,596
588,575,591,583,603,596
588,595,601,595,596,583
588,595,601,595,596,583
588,595,601,595,596,583
586,574,582,578,594,587
586,574,582,578,594,587
586,574,582,578,594,587
591,585,583,588,600,588
591,585,583,588,600,588
591,585,583,588,600,588
583,595,590,587,589,600
583,595,590,587,589,600
583,595,590,587,589,600
590,583,601,592,599,586
590,583,601,592,599,586
590,583,601,592,599,586
586,583,589,579,595,591
586,583,589,579,595,591
583,589,585,585,587,588
583,589,585,585,587,588
583,589,585,585,587,588
587,593,594,583,590,583
587,593,594,583,590,583
587,593,594,583,590,583
587,591,587,586,595,584
587,591,587,586,595,584
586,590,593,583,597,591
586,590,593,583,597,591
586,590,593,583,597,591
583,580,590,583,598,586
583,580,590,583,598,586
583,580,590,583,598,586
584,581,590,583,601,583
584,581,590,583,601,583
584,581,590,583,601,583
589,585,593,583,591,597
589,585,593,583,591,597
588,585,601,595,585,587
588,585,601,595,585,587
588,585,601,595,585,587
587,580,591,583,589,585
587,580,591,583,589,585
587,580,591,583,589,585
583,585,588,583,587,579
583,585,588,583,587,579
583,585,588,587,594,587
583,585,588,587,594,587
583,585,588,587,594,587
585,587,595,588,590,588
585,587,595,588,590,588
585,587,595,588,590,588
585,582,590,591,589,587
585,582,590,591,589,587
585,595,588,590,595,589
585,581,597,596,594,580
585,581,597,596,594,580
585,579,595,588,591,585
585,579,595,588,591,585
585,579,595,588,591,585
583,579,593,591,593,591
583,579,593,591,593,591
583,579,593,591,593,591
585,581,583,593,593,585
585,581,583,593,593,585
585,581,583,593,593,585
586,585,588,589,601,581
586,585,588,589,601,581
585,579,590,581,583,585
585,579,590,581,583,585
585,579,590,581,583,585
588,591,601,587,595,579
588,591,601,587,595,579
588,591,601,587,595,579
588,578,583,591,599,591
588,578,583,591,599,591
586,585,594,587,598,580
586,585,594,587,598,580
586,585,594,587,598,580
583,588,597,580,595,583
583,588,597,580,595,583
583,588,597,580,595,583
585,575,595,595,589,582
585,575,595,595,589,582
585,575,595,595,589,582
588,593,590,585,595,588
588,593,590,585,595,588
588,583,591,590,604,595
588,583,591,590,604,595
588,583,591,590,604,595
586,588,596,585,597,582
586,588,596,585,597,582
586,588,596,585,597,582
585,580,579,584,591,583
585,580,579,584,591,583
585,580,579,584,591,583
588,590,590,587,588,583
588,590,590,587,588,583
583,584,590,582,604,591
583,584,590,582,604,591
583,584,590,582,604,591
588,591,585,581,582,593
588,591,585,581,582,593
588,591,585,581,582,593
583,579,587,588,593,593
583,579,587,588,593,593
585,600,591,595,595,587
585,600,591,595,595,587
585,600,591,595,595,587
588,583,578,588,589,588
588,583,578,588,589,588
588,583,578,588,589,588
583,583,594,587,593,591
583,583,594,587,593,591
583,583,594,587,593,591
580,587,595,595,591,593
580,587,595,595,591,593
587,593,591,583,594,600
587,593,591,583,594,600
587,593,591,583,594,600
586,591,582,583,601,585
586,591,582,583,601,585
588,585,587,582,587,589
588,585,587,582,587,589
588,585,587,582,587,589
589,593,591,594,598,583
589,593,591,594,598,583
589,593,591,594,598,583
585,585,598,585,595,601
585,585,598,585,595,601
586,573,591,593,597,588
586,573,591,593,597,588
586,573,591,593,597,588
585,595,585,583,592,588
585,595,585,583,592,588
585,595,585,583,592,588
583,580,587,583,594,584
583,580,587,583,594,584
583,580,587,583,594,584
587,585,585,587,598,591
587,585,585,587,598,591
589,583,579,590,589,577
589,583,579,590,589,577
589,583,579,590,589,577
586,599,585,583,598,595
586,599,585,583,598,595
586,599,585,583,598,595
586,593,580,591,597,595
586,593,580,591,597,595
585,577,595,600,598,595
585,577,595,600,598,595
585,577,595,600,598,595
583,591,588,575,588,590
583,591,588,575,588,590
583,591,588,575,588,590
587,591,590,584,589,596
587,591,590,584,589,596
587,591,590,584,589,596
585,596,593,579,591,583
585,596,593,579,591,583
585,586,595,591,585,591
585,586,595,591,585,591
585,586,595,591,585,591
585,595,603,583,588,588
585,595,603,583,588,588
585,595,603,583,588,588
587,590,589,582,583,583
587,590,589,582,583,583
587,590,589,582,583,583
586,594,590,578,583,591
586,594,590,578,583,591
586,594,590,578,583,591
585,591,585,575,596,591
585,591,585,575,596,591
586,587,588,589,589,590
586,587,588,589,589,590
586,587,588,589,589,590
589,587,596,595,591,590
589,587,596,595,591,590
583,587,598,596,595,583
583,587,598,596,595,583
583,587,598,596,595,583
586,585,587,582,588,580
586,585,587,582,588,580
586,585,587,582,588,580
583,594,585,585,601,591
583,594,585,585,601,591
583,594,585,585,601,591
585,591,590,591,595,581
585,591,590,591,595,581
589,568,583,586,593,593
589,568,583,586,593,593
589,568,583,586,593,593
585,591,592,590,597,595
585,591,592,590,597,595
585,591,592,590,597,595
587,589,594,591,593,583
587,589,594,591,593,583
587,589,594,591,593,583
587,587,591,583,591,582
587,587,591,583,591,582
585,590,587,582,600,590
585,590,587,582,600,590
585,590,587,582,600,590
583,591,590,583,598,587
583,591,590,583,598,587
583,591,590,583,598,587
588,582,594,592,598,589
588,582,594,592,598,589
587,585,583,583,605,586
587,585,583,583,605,586
587,585,583,583,605,586
587,591,591,598,591,586
587,591,591,598,591,586
587,591,591,598,591,586
588,596,595,585,598,591
588,596,595,585,598,591
588,596,595,585,598,591
585,585,593,593,597,585
585,585,593,593,597,585
585,585,593,593,597,585
587,596,594,583,600,586
587,596,594,583,600,586
588,591,583,583,593,579
588,591,583,583,593,579
